UMIS number,studentID,name,dob,district,block,college_name,degree,department,year_of_passing,cgpa,skills,swayam_course,naan_mudhalvan_course,certifications,internships,extra_curricular_activities,sports,predicted_academic_job_role,predicted_skill_job_role,mobile_number,email_id
1469306919,TN-STU-2021-00011,Yazhini Ramasamy,2001-02-18,Madurai,Madurai Central,"The American College, Madurai",M.A.,Tamil,2024,7.7,"Public Speaking, Research Writing, Tamil Literature, Editing, Journalism, Translation",NONE,NONE,Tamil Pandit Certification,News Agency,Debate,Chess,Junior Editor,Certified Senior Digital Editor,9661624051,yazhini.6919@smart.edu
1251837136,TN-STU-2023-00012,Hasini M.,1999-01-09,Tenkasi,Vasudevanallur,"M.S.P. Velayutham Nadar Polytechnic College, Pavoorchatram",LL.B.,Law,2026,9.5,"Corporate Law, Litigation Support, Legal Writing, Contract Negotiation, Legal Research, Intellectual Property",NONE,NONE,Bar Council Enrollment,NONE,Legal Aid Club,Chess,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer,9289448281,hasini.7136@smart.edu
1676168421,TN-STU-2020-00013,Abirami Mani,2008-07-19,Madurai,Madurai North,"SACS M.A.V.M.M. Engineering College, Kidaripatti",B.A.,Tamil,2024,8.5,"Public Speaking, Translation, Research Writing",History of Tamil Literature,NONE,Tamil Pandit Certification,Content Studio,NONE,NONE,Junior Content Developer,Certified Senior Digital Editor,9136327271,abirami.8421@smart.edu
8370987661,TN-STU-2021-00014,Karthik Babu,2001-12-23,Tirunelveli,Palayamkottai,"Sarah Tucker College, Palayamkottai",M.E.,Biomedical Engineering,2025,8.9,"Signal Processing, Medical Device Design, MATLAB, Clinical Trials Support, Product Testing",Biomedical Signals,NONE,LabVIEW Developer,NONE,Robotics,Table Tennis,Junior Biomedical Engineer,Certified Senior Biomedical Tech Associate,9209108544,karthik.7661@smart.edu
6882074066,TN-STU-2021-00015,Raji S.,2003-11-30,Dharmapuri,Dharmapuri,"Laxmi Narayana Arts and Science College, Dharmapuri",B.Sc.,Nursing,2025,6.6,"Medical Terminology, Patient Care, Medication Administration, Vital Signs Monitoring",Maternal Health,Infection Control,Intensive Care Cert,NONE,Blood Donation,Volleyball,Trainee Pediatric Nurse,Certified Senior Certified Nurse,9799848211,raji.4066@smart.edu
7393195616,TN-STU-2020-00016,Lalitha Ethiraj,2000-01-14,Kallakurichi,Sankarapuram,"AKT Memorial Polytechnic College, Neelamangalam",BBA,Business Administration,2023,8.1,"Strategic Planning, HR Management, CRM, Leadership",NONE,NONE,PMP Foundation,NONE,B-Plan Competitions,Cricket,Junior Management Trainee,Certified Senior Business Development Associate,9565800518,lalitha.5616@smart.edu
3373077218,TN-STU-2023-00017,Nishanth Mani,2000-06-06,Karur,Karur,"V.J.P. College of Education, Karur",B.A.,English,2025,7.3,"Copywriting, Phonetics, Proofreading, Literature Analysis",NONE,NONE,TESOL,Magazines,Literary Society,Badminton,Junior Content Writer,Certified Senior Copywriter,9519870243,nishanth.7218@smart.edu
9292791081,TN-STU-2021-00018,Yousuf Sekar,2001-12-28,Thiruvallur,Avadi,Sastra University Law School,B.A.LL.B.,Law,2026,7.4,"Legal Writing, Corporate Law, Contract Negotiation, Litigation Support",Cyber Laws,ADR Mechanisms,NONE,Law Firms,Debate,Badminton,Junior Junior Advocate,Certified Senior Corporate Lawyer,9321192231,yousuf.1081@smart.edu
7482848011,TN-STU-2022-00019,Abirami M.,1999-04-24,Thoothukudi,Srivaikuntam,"Nazareth Margoschis College, Pillaiyanmanai (Nazareth)",M.Sc.,Psychology,2023,6.6,"Group Therapy Facilitation, Behavioral Analysis, Psychometrics, Report Writing, Mental Health Assessment, Social Work, Counseling",Positive Psychology,NONE,CBT Practitioner,Schools,Awareness Camps,Kho-Kho,Trainee School Counselor,Certified Senior Certified Counselor,9887431879,abirami.8011@smart.edu
6141226746,TN-STU-2023-00020,Sandhya Rajan,1999-10-14,Madurai,Thirumangalam,"Thiagarajar School of Management (TSM), Pamban Swamy Nagar",M.A.,Tamil,2023,7.9,"Translation, Journalism, Public Speaking, Grammar, Research Writing, Editing, Creative Writing",NONE,Digital Content Creation,Translator Certification,Content Studio,NSS,Chess,Junior Editor,Certified Senior Digital Editor,9470089148,sandhya.6746@smart.edu
4580822352,TN-STU-2022-00021,Maya Subramanian,2002-03-21,Ariyalur,Jayankondam,Sri Saraswathi College of Education,M.E.,Mechanical Engineering,2025,8.9,"MATLAB, Quality Control, SolidWorks, CNC Programming, Thermodynamics, Manufacturing Processes",Robotics,NONE,AutoCAD Certified,SMEs,NONE,NONE,Junior Design Engineer,Certified Senior CAD Design Specialist,9569981574,maya.2352@smart.edu
8184602688,TN-STU-2021-00022,Gayathri Krishnan,2008-01-17,Cuddalore,Cuddalore,"Sister Margaret College of Nursing, Cuddalore",B.Sc.,Nursing,2024,9.0,"Emergency Response, ICU Management, Medication Administration, Medical Terminology, Vital Signs Monitoring, Surgical Assistance, Anatomy",Medical Microbiology,Clinical Documentation,BLS/ACLS Certified,Specialty Clinics,First Aid Camp,Kabaddi,Junior Community Health Worker,Certified Senior Certified Nurse,9527767975,gayathri.2688@smart.edu
7519578899,TN-STU-2020-00023,Sathish Chidambaram,2005-04-02,Chengalpattu,Cheyyur,GKM College of Engineering and Technology,B.F.A.,Fine Arts,2026,9.3,"Ceramics, Portfolio Building, Photography, Art History, Graphic Design, Digital Illustration, Sculpture",Photography Basics,NONE,Graphic Design Cert,Design Firms,Photography Club,Chess,Junior Art Educator,Certified Senior Animation Artist,9427741980,sathish.8899@smart.edu
6322520473,TN-STU-2023-00024,Damini Velayudham,1999-11-14,Cuddalore,Cuddalore,"Government Polytechnic College, Cuddalore",M.Sc.,Agriculture,2025,8.0,"Soil Science, Greenhouse Management, Remote Sensing, Organic Farming, Agribusiness, Irrigation Management, Crop Science",NONE,AgriTech Tools,Organic Farming Cert,NGOs,Green Brigade,Cricket,Junior Agriculture Officer,Certified Senior Agri-Business Advisor,9501222711,damini.0473@smart.edu
1267429212,TN-STU-2023-00025,Vijay Ethiraj,2003-05-15,Tenkasi,Tenkasi,"Sri Ram Nallamani Yadava College of Pharmacy, Tenkasi",B.Tech,Biomedical Engineering,2026,6.0,"Clinical Trials Support, Product Testing, MATLAB, Anatomy Knowledge, Signal Processing",Clinical Engineering,Healthcare IoT,Medical Coding,Research Labs,NCC,Badminton,Trainee Medical Device Tester,Certified Senior Biomedical Tech Associate,9230157688,vijay.9212@smart.edu
4110335359,TN-STU-2023-00026,Bhavani Sekar,2000-06-06,Dindigul,Oddanchatram,"Christian College of Engineering and Technology, Oddanchatram",B.A.LL.B.,Law,2023,8.7,"Legal Writing, Litigation Support, Legal Research, Corporate Law",Human Rights Law,Corporate Drafting,Arbitration Certification,Human Rights NGOs,Legal Aid Club,Badminton,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer,9183365217,bhavani.5359@smart.edu
8868054898,TN-STU-2022-00027,Ajith Thangam,2008-05-12,Virudhunagar,Rajapalayam,Kalasalingam Academy of Research and Education,B.F.A.,Fine Arts,2025,7.4,"Painting, Portfolio Building, Graphic Design",Photography Basics,Graphic Design Tools,Adobe Creative Suite,NONE,Cultural Fest,Chess,Junior Graphic Designer,Certified Senior Animation Artist,9523313292,ajith.4898@smart.edu
6231117883,TN-STU-2022-00028,Prithiv Inbaraj,2007-08-08,Tiruvannamalai,Tiruvannamalai,"S.K.P. Polytechnic College, Tiruvannamalai",B.Com,Commerce,2024,7.9,"Accounting, Tally ERP, Auditing",NONE,GST & Taxation,CPA Foundation,NONE,Entrepreneurship Cell,Cricket,Junior Audit Assistant,Certified Senior Banking Associate,9803905328,prithiv.7883@smart.edu
4459716271,TN-STU-2020-00029,Maya Anbazhagan,2002-11-23,Erode,Erode (West),"Erode Sengunthar Engineering College, Thudupathi",B.Tech,Mechanical Engineering,2023,9.2,"AutoCAD, Lean Manufacturing, Thermodynamics, Quality Control, MATLAB",Engineering Design,EV Technology,NONE,Manufacturing Plants,Robotics,Athletics,Junior Design Engineer,Certified Senior CAD Design Specialist,9509942139,maya.6271@smart.edu
7371573279,TN-STU-2023-00030,Senthil Venkatesan,2008-04-05,Virudhunagar,Aruppukkottai,Sowdambika College of Arts and Science,M.Com,Commerce,2024,6.5,"Cost Accounting, Taxation, GST Filing, Auditing, Financial Reporting",Advanced Accounting,FinTech,CPA Foundation,Share Broking Firm,Entrepreneurship Cell,Kabaddi,Trainee Financial Analyst,Certified Senior Banking Associate,9944562551,senthil.3279@smart.edu
6756711494,TN-STU-2022-00031,Preethi Udhayam,2005-03-26,Thiruvarur,Mannargudi,Loyola College,BBA,Business Administration,2024,8.6,"Leadership, CRM, Business Analytics, Supply Chain, Strategic Planning, Marketing Research",Organizational Behavior,CRM Specialist,Digital Marketing Expert,Consumer Goods Companies,Entrepreneurship Cell,Badminton,Junior HR Executive,Certified Senior Business Development Associate,9803180815,preethi.1494@smart.edu
7575259637,TN-STU-2023-00032,Madhavan Jayaraman,2007-05-14,Mayiladuthurai,Sirkazhi,"St. Theresa's College of Education, Mayiladuthurai",M.E.,Civil Engineering,2026,7.7,"STAAD Pro, Site Supervision, AutoCAD, Quantity Estimation, Structural Analysis",Building Materials,NONE,NONE,NONE,NSS,Volleyball,Junior Site Engineer,Certified Senior BIM Associate,9699231439,madhavan.9637@smart.edu
6128695961,TN-STU-2021-00033,Arasu Ponnusamy,2003-01-18,Vellore,Vellore,"CMC College of Nursing, Vellore",BBA,Business Administration,2025,6.2,"Strategic Planning, CRM, HR Management",NONE,Retail Management,Six Sigma Green Belt,Tech Startups,NONE,Badminton,Trainee Marketing Coordinator,Certified Senior Business Development Associate,9638395841,arasu.5961@smart.edu
2463320861,TN-STU-2020-00034,Ilango R.,2001-10-31,Tiruchirappalli,Tiruchirappalli (West),"Oxford Engineering College, Pirattiyur",M.Sc.,Data Science,2026,6.4,"Python, Machine Learning, Data Analysis, SQL, Pandas, NumPy",Data Structures,Full Stack Development,Oracle Java Certified,TCS,NONE,Table Tennis,Data Analyst,Junior Data Science Specialist,9863783746,ilango.0861@smart.edu
7539399243,TN-STU-2023-00035,Kamalesh Balan,2003-12-19,Tirunelveli,Tirunelveli,Tirunelveli Medical College - College of Nursing,M.E.,Mechanical Engineering,2023,9.9,"Thermodynamics, Quality Control, SolidWorks",Fluid Mechanics,NONE,AutoCAD Certified,Ashok Leyland,Robotics,Football,Junior Design Engineer,Certified Senior CAD Design Specialist,9830941150,kamalesh.9243@smart.edu
5306459450,TN-STU-2023-00036,Narendra Udhayam,2006-09-24,Kancheepuram,Kancheepuram,SASTRA University,B.E.,Biomedical Engineering,2024,7.8,"AutoCAD, Medical Device Design, Anatomy Knowledge, Signal Processing, Biomechanics",NONE,NONE,NONE,Siemens Healthineers,NCC,Badminton,Junior Clinical Engineer,Certified Senior Biomedical Tech Associate,9274292897,narendra.9450@smart.edu
1610900200,TN-STU-2020-00037,Kumar Yogeswaran,2000-11-10,Cuddalore,Neyveli,"Vallalar College of Arts and Science, Neyveli",B.E.,Biomedical Engineering,2026,7.9,"Clinical Trials Support, AutoCAD, Product Testing, MATLAB, Anatomy Knowledge, Medical Device Design",NONE,Medical Device Regulation,AutoCAD Certified,NONE,Robotics,NONE,Junior Clinical Engineer,Certified Senior Biomedical Tech Associate,9563121727,kumar.0200@smart.edu
8822944679,TN-STU-2020-00038,Abirami A.,2007-07-23,Mayiladuthurai,Poompuhar,"Gnanambigai Government Arts College for Women, Mayiladuthurai",M.Sc.,Psychology,2025,7.1,"Group Therapy Facilitation, Psychometrics, Mental Health Assessment, Counseling, Report Writing, Child Psychology, Behavioral Analysis",Counseling Theories,Counselling Practices,NONE,Hospitals,NSS,Chess,Junior Psychological Counselor,Certified Senior Certified Counselor,9418883483,abirami.4679@smart.edu
5452580287,TN-STU-2020-00039,Geetha J.,2002-07-12,Tiruppur,Udumalaipettai,"G.V.G. Visalakshi College of Education, Udumalpet",LL.B.,Law,2023,9.4,"Contract Negotiation, Legal Research, Litigation Support, IPC/CrPC Knowledge, Corporate Law, Legal Drafting",Human Rights Law,NONE,Cyber Law Cert,High Court Chambers,Law Review,Badminton,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer,9337918075,geetha.0287@smart.edu
8293928340,TN-STU-2020-00040,Logeshwari Balaji,1999-04-29,Thiruvallur,Thiruvallur,Manipal Institute,M.E.,Biomedical Engineering,2024,7.9,"Medical Device Design, Clinical Trials Support, MATLAB, AutoCAD, Signal Processing, Product Testing, Anatomy Knowledge",Biomedical Signals,NONE,LabVIEW Developer,Research Labs,Robotics,NONE,Junior Clinical Engineer,Certified Senior Biomedical Tech Associate,9750669572,logeshwari.8340@smart.edu
8880079328,TN-STU-2023-00041,Pavithran Prabhu,2001-09-25,Tiruvannamalai,Cheyyar,"Indo-American College, Cheyyar",B.E.,Electronics & Communication,2024,6.4,"IoT, Embedded Systems, PCB Design, Communication Protocols, Circuit Design",Wireless Communications,NONE,National Instruments LabVIEW,NONE,NONE,Cricket,Trainee Telecom Engineer,Certified Senior Embedded Developer,9444184100,pavithran.9328@smart.edu
7608153267,TN-STU-2022-00042,Vidhya Kandasamy,2002-09-23,Thanjavur,Thanjavur,"Mannai Narayanasamy College of Nursing, Thanjavur",M.Sc.,Agriculture,2024,7.5,"Remote Sensing, Soil Science, Agribusiness, Crop Science, Irrigation Management, Organic Farming, Greenhouse Management",NONE,Post Harvest Management,Agri-Business Management,NONE,Rural Development,Athletics,Junior Agriculture Officer,Certified Senior Agri-Business Advisor,9308623860,vidhya.3267@smart.edu
8924383984,TN-STU-2020-00043,Oviyan Loganathan,2004-11-24,Thiruvallur,Avadi,Mother Teresa Womens University,B.A.,Tamil,2026,6.9,"Editing, Research Writing, Grammar",Epigraphy,NONE,NONE,NONE,Literary Club,Badminton,Trainee Language Expert,Certified Senior Digital Editor,9435803198,oviyan.3984@smart.edu
9392965643,TN-STU-2023-00044,Akash Inbaraj,2008-10-13,Tiruchirappalli,Srirangam,Indian Institute of Management Tiruchirappalli (IIM Trichy),B.Sc.,Agriculture,2024,10.0,"Agribusiness, Organic Farming, Crop Science, Greenhouse Management, Remote Sensing",NONE,NONE,Organic Farming Cert,NGOs,Rural Development,Cricket,Junior Agri Extension Officer,Certified Senior Agri-Business Advisor,9460103615,akash.5643@smart.edu
4419410162,TN-STU-2022-00045,Kabilan Velu,2003-01-08,Ranipet,Sholingur,"Arignar Anna Government Arts College, Walajapet",B.A.,Tamil,2026,9.6,"Grammar, Creative Writing, Tamil Literature, Translation",Classical Tamil,NONE,Translator Certification,Content Studio,NONE,Chess,Junior Content Developer,Certified Senior Digital Editor,9959629947,kabilan.0162@smart.edu
6385791669,TN-STU-2022-00046,Uma Haran,2006-06-24,Chennai,Egmore,"Ethiraj College for Women (Autonomous), Egmore",BBA,Business Administration,2023,8.8,"Strategic Planning, CRM, Leadership, Operations Planning, Supply Chain",Marketing Research,Digital Marketing,PMP Foundation,Consumer Goods Companies,B-Plan Competitions,Football,Junior HR Executive,Certified Senior Business Development Associate,9441097943,uma.1669@smart.edu
7763765757,TN-STU-2022-00047,Nisha Murugesan,1999-03-31,Pudukkottai,Viralimalai,"Government Arts and Science College, Karambakkudi",B.A.LL.B.,Law,2023,9.8,"IPC/CrPC Knowledge, Contract Negotiation, Litigation Support, Legal Writing, Corporate Law, Legal Research",NONE,Legal Analytics,NONE,Corporate Legal Cell,Law Review,Chess,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer,9871598802,nisha.5757@smart.edu
8682023540,TN-STU-2020-00048,Kamal Sivakumar,2005-07-01,Tenkasi,Alangulam,"Greeno Polytechnic College, Alangulam",B.Tech,Civil Engineering,2025,8.6,"Surveying, Site Supervision, STAAD Pro, Structural Analysis",NONE,NONE,Project Management Basics,Government PWD,Construction Challenge,Athletics,Junior Project Coordinator,Certified Senior BIM Associate,9221867833,kamal.3540@smart.edu
4454152476,TN-STU-2023-00049,Chaitra K.,1999-11-05,Chengalpattu,Thiruporur,Tagore Medical College and Hospital,M.F.A.,Fine Arts,2023,8.5,"Art History, Graphic Design, Painting",Modern Art,Visual Communication,NONE,NONE,Photography Club,NONE,Junior Art Educator,Certified Senior Animation Artist,9708120966,chaitra.2476@smart.edu
3898400928,TN-STU-2023-00050,Muthu Yuvraj,1999-04-13,Thoothukudi,Tiruchendur,"Pope's College, Sawyerpuram",B.A.LL.B.,Law,2023,10.0,"IPC/CrPC Knowledge, Intellectual Property, Legal Drafting, Legal Research, Litigation Support, Legal Writing",Constitutional Law,Corporate Drafting,Cyber Law Cert,High Court Chambers,Moot Court,Cricket,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer,9591890821,muthu.0928@smart.edu
7243352390,TN-STU-2023-00051,Arul Boopathi,2005-08-02,Kallakurichi,Sankarapuram,"AKT Memorial Polytechnic College, Neelamangalam",B.Tech,Biomedical Engineering,2023,9.1,"Product Testing, Biomechanics, Medical Device Design, AutoCAD, Signal Processing, MATLAB, Clinical Trials Support",Medical Imaging,Bioelectronics,CBET Preparation,NONE,Robotics,NONE,Junior Biomedical Engineer,Certified Senior Biomedical Tech Associate,9830221441,arul.2390@smart.edu
7004964045,TN-STU-2021-00052,Yuvaraj Yuvraj,2000-05-15,Cuddalore,Cuddalore,"Kandaswami Naidu College for Women, Cuddalore",B.E.,Civil Engineering,2023,6.3,"Surveying, Site Supervision, STAAD Pro, Quantity Estimation, AutoCAD",NONE,Building Information Modelling,NONE,Government PWD,NSS,Kabaddi,Trainee Structural Engineer,Certified Senior BIM Associate,9467198878,yuvaraj.4045@smart.edu
5307145891,TN-STU-2021-00053,Prithiv Thirunavukkarasu,2000-06-16,Dindigul,Dindigul,"St. Peter's College of Education, Dindigul",B.F.A.,Fine Arts,2023,6.8,"Ceramics, Portfolio Building, Sculpture",NONE,Visual Communication,Adobe Creative Suite,Ad Agencies,Photography Club,Yoga,Trainee Illustrator,Certified Senior Animation Artist,9707967067,prithiv.5891@smart.edu
5567946981,TN-STU-2023-00054,Malarvizhi Udhayam,2007-09-22,Tiruppur,Udumalaipettai,"Vidyasagar College of Arts and Science, Udumalpet",B.Com,Commerce,2023,9.3,"Cost Accounting, Financial Reporting, Accounting, Banking Operations, GST Filing",Banking & Insurance,GST & Taxation,NONE,CA Firms,NSS,Kabaddi,Junior Accountant,Certified Senior Banking Associate,9571961807,malarvizhi.6981@smart.edu
3612617557,TN-STU-2020-00055,Nisha Subramanian,2000-05-31,Thanjavur,Thanjavur,"Rajah Serfoji Government College, Thanjavur",M.A.,English,2026,9.2,"IELTS Coaching, Linguistics, Public Speaking, SEO Writing, Copywriting, Literature Analysis, Phonetics",Modern Linguistics,Business English,HubSpot Content Marketing,Schools,NCC,Football,Junior Communications Associate,Certified Senior Copywriter,9775941636,nisha.7557@smart.edu
7127904756,TN-STU-2022-00056,Swetha Velayudham,2003-03-14,Chennai,Sholinganallur,"Institute of Chemical Technology, Taramani",B.E.,Electronics & Communication,2023,6.5,"VLSI, MATLAB, IoT, Embedded Systems, Communication Protocols, PCB Design",Digital Electronics,NONE,NONE,NONE,Ham Radio,Chess,Trainee Telecom Engineer,Certified Senior Embedded Developer,9845953918,swetha.4756@smart.edu
4096932037,TN-STU-2022-00057,Yogesh E.,2005-09-25,Dharmapuri,Dharmapuri,"Government College of Engineering, Dharmapuri",B.A.LL.B.,Law,2024,9.0,"Litigation Support, Corporate Law, IPC/CrPC Knowledge, Contract Negotiation",Constitutional Law,Corporate Drafting,NONE,Law Firms,Debate,NONE,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer,9986990077,yogesh.2037@smart.edu
3391179068,TN-STU-2022-00058,Hasini B.,1999-04-29,Chengalpattu,Thiruporur,Sri Sairam Homoeopathy Medical College,M.F.A.,Fine Arts,2025,6.0,"Digital Illustration, Art History, Ceramics, Photography",Art Appreciation,Graphic Design Tools,NONE,NONE,Art Exhibition,Yoga,Trainee Illustrator,Certified Senior Animation Artist,9107346153,hasini.9068@smart.edu
6910709963,TN-STU-2023-00059,Naveen Venkatesan,2002-10-28,Thiruvallur,Tiruttani,PSG Tech,M.E.,Electronics & Communication,2025,9.6,"VLSI, Circuit Design, Communication Protocols, MATLAB, IoT, Embedded Systems, Signal Processing",Wireless Communications,PCB Design Fundamentals,NONE,Telecom Companies,NCC,NONE,Junior Electronics Engineer,Certified Senior Embedded Developer,9658490811,naveen.9963@smart.edu
3200510647,TN-STU-2022-00060,Lalitha Thirunavukkarasu,2003-10-27,Coimbatore,Mettupalayam,"Government Arts and Science College, Mettupalayam",MCA,Computer Science,2023,7.4,"DevOps, Python, Flutter, React, Cloud Computing, Java",Cloud Computing Foundation,Blockchain,Google Data Analytics,Local Tech Solutions,Hackathons,Cricket,Junior Software Engineer,Certified Senior Cloud Engineer,9711182811,lalitha.0647@smart.edu
5849815676,TN-STU-2021-00061,Sneha G.,2004-08-11,Salem,Salem (South),"Government College of Engineering, Salem",M.Sc.,Data Science,2023,8.7,"Python, Machine Learning, Data Analysis, SQL, Pandas, NumPy",NONE,Data Analytics with Python,CISCO CCNA,Tech Startups,NSS,Chess,Data Scientist,Junior Data Science Specialist,9607325017,sneha.5676@smart.edu
9444763362,TN-STU-2021-00062,Meera Rajan,2007-12-27,Madurai,Madurai Central,"Tamil Nadu Polytechnic College, Madurai",M.A.,English,2023,8.7,"Literature Analysis, SEO Writing, Proofreading",British Literature,NONE,TEFL,Schools,Debate,Tennis,Junior Communications Associate,Certified Senior Copywriter,9774000791,meera.3362@smart.edu
9917981516,TN-STU-2020-00063,Jyothi Ramasamy,2004-12-13,Tenkasi,Vasudevanallur,"Mahakavi Bharathiyar College of Engineering and Technology, Vasudevanallur",MBA,Business Administration,2024,7.5,"Operations Planning, Business Analytics, HR Management",Strategic Management,NONE,Digital Marketing Expert,NONE,B-Plan Competitions,Football,Junior Management Trainee,Certified Senior Business Development Associate,9615989689,jyothi.1516@smart.edu
7977267911,TN-STU-2022-00064,Kavitha Dharmalingam,2000-09-10,Thanjavur,Pattukkottai,"Meenakshi Chandrasekaran College of Arts and Science, Pattukkottai",M.F.A.,Fine Arts,2025,7.7,"Painting, Digital Illustration, Art History, Graphic Design, Portfolio Building, Sculpture, Photography",Art Appreciation,Digital Art & Animation,Visual Art Diploma,Museums,Art Exhibition,Yoga,Junior Graphic Designer,Certified Senior Animation Artist,9931852637,kavitha.7911@smart.edu
6946306973,TN-STU-2020-00065,Paval J.,2004-01-17,Namakkal,Rasipuram,"Muthayammal Polytechnic College, Rasipuram",M.E.,Mechanical Engineering,2026,9.2,"AutoCAD, Thermodynamics, MATLAB, Manufacturing Processes",NONE,Industry 4.0,NONE,NONE,Robotics,Cricket,Junior Design Engineer,Certified Senior CAD Design Specialist,9539656433,paval.6973@smart.edu
3619094295,TN-STU-2022-00066,Laksman Ganesan,2003-03-08,Dindigul,Dindigul,Government Dindigul Medical College,MBA,Business Administration,2023,10.0,"HR Management, Operations Planning, Marketing Research, Strategic Planning, Leadership",Marketing Research,CRM Specialist,NONE,NONE,NONE,Football,Junior HR Executive,Certified Senior Business Development Associate,9288902805,laksman.4295@smart.edu
3850192297,TN-STU-2022-00067,Nayagi E.,2002-06-24,Coimbatore,Valparai,RVS College of Arts and Science,M.Sc.,Nursing,2024,9.8,"Medical Terminology, Vital Signs Monitoring, ICU Management",NONE,Infection Control,BLS/ACLS Certified,NONE,NONE,Kabaddi,Junior Community Health Worker,Certified Senior Certified Nurse,9880396966,nayagi.2297@smart.edu
