UMIS number,studentID,name,dob,district,block,college_name,degree,department,year_of_passing,cgpa,skills,swayam_course,naan_mudhalvan_course,certifications,internships,extra_curricular_activities,sports,predicted_academic_job_role,predicted_skill_job_role
1469306919,TN-STU-2021-00011,Yazhini Ramasamy,2001-02-18,Thoothukudi,Thiruverambur,Bharathidasan University,M.A.,Tamil,2024.0,7.7,"Public Speaking, Research Writing, Tamil Literature, Editing, Journalism, Translation",,,Tamil Pandit Certification,News Agency,Debate,Chess,Junior Editor,Certified Senior Digital Editor
1251837136,TN-STU-2023-00012,Hasini M.,1999-01-09,Vellore,Avadi,Sastra University Law School,LL.B.,Law,2026.0,9.5,"Corporate Law, Litigation Support, Legal Writing, Contract Negotiation, Legal Research, Intellectual Property",,,Bar Council Enrollment,,Legal Aid Club,Chess,Junior Corporate Legal Associate,Certified Dispute Resolution Expert
1676168421,TN-STU-2020-00013,Abirami Mani,2008-07-19,Madurai,Avadi,Mother Teresa Womens University,B.A.,Tamil,2024.0,8.5,"Public Speaking, Translation, Research Writing",History of Tamil Literature,,Tamil Pandit Certification,Content Studio,,,Junior Content Developer,Certified Senior Digital Editor
8370987661,TN-STU-2021-00014,Karthik Babu,2001-12-23,Vellore,Gummidipoondi,SRM University,M.E.,Biomedical Engineering,2025.0,8.9,"Signal Processing, Medical Device Design, MATLAB, Clinical Trials Support, Product Testing",Biomedical Signals,,LabVIEW Developer,,Robotics,Table Tennis,Junior Biomedical Engineer,Certified Clinical Systems Engineer
6882074066,TN-STU-2021-00015,Raji S.,2003-11-30,Thoothukudi,Killiyoor,Sri Ramachandra University,B.Sc.,Nursing,2025.0,6.6,"Medical Terminology, Patient Care, Medication Administration, Vital Signs Monitoring",Maternal Health,Infection Control,Intensive Care Cert,,Blood Donation,Volleyball,Trainee Pediatric Nurse,Certified Clinical Nurse Specialist
7393195616,TN-STU-2020-00016,Lalitha Ethiraj,2000-01-14,Kallakurichi,Thiruvallur,VISTAS Chennai,BBA,Business Administration,2023.0,8.1,"Strategic Planning, HR Management, CRM, Leadership",,,PMP Foundation,,B-Plan Competitions,Cricket,Junior Management Trainee,Certified Digital Marketer
3373077218,TN-STU-2023-00017,Nishanth Mani,2000-06-06,Chennai,Nannilam,Alagappa University,B.A.,English,2025.0,7.3,"Copywriting, Phonetics, Proofreading, Literature Analysis",,,TESOL,Magazines,Literary Society,Badminton,Junior Content Writer,Certified Senior Copywriter
9292791081,TN-STU-2021-00018,Yousuf Sekar,2001-12-28,Madurai,Avadi,Sastra University Law School,B.A.LL.B.,Law,2026.0,7.4,"Legal Writing, Corporate Law, Contract Negotiation, Litigation Support",Cyber Laws,ADR Mechanisms,,Law Firms,Debate,Badminton,Junior Junior Advocate,Associate IP Specialist
7482848011,TN-STU-2022-00019,Abirami M.,1999-04-24,Coimbatore,Nagercoil,SIET College,M.Sc.,Psychology,2023.0,6.6,"Group Therapy Facilitation, Behavioral Analysis, Psychometrics, Report Writing, Mental Health Assessment, Social Work, Counseling",Positive Psychology,,CBT Practitioner,Schools,Awareness Camps,Kho-Kho,Trainee School Counselor,Certified Senior Certified Counselor
6141226746,TN-STU-2023-00020,Sandhya Rajan,1999-10-14,Kallakurichi,Avadi,Mother Teresa Womens University,M.A.,Tamil,2023.0,7.9,"Translation, Journalism, Public Speaking, Grammar, Research Writing, Editing, Creative Writing",,Digital Content Creation,Translator Certification,Content Studio,NSS,Chess,Junior Editor,Certified Senior Digital Editor
4580822352,TN-STU-2022-00021,Maya Subramanian,2002-03-21,Salem,Colachal,Thiagarajar CE,M.E.,Mechanical Engineering,2025.0,8.9,"MATLAB, Quality Control, SolidWorks, CNC Programming, Thermodynamics, Manufacturing Processes",Robotics,,AutoCAD Certified,SMEs,,,Junior Design Engineer,Certified Senior CAD Design Specialist
8184602688,TN-STU-2021-00022,Gayathri Krishnan,2008-01-17,Salem,Palladam,KG College of Nursing,B.Sc.,Nursing,2024.0,9.0,"Emergency Response, ICU Management, Medication Administration, Medical Terminology, Vital Signs Monitoring, Surgical Assistance, Anatomy",Medical Microbiology,Clinical Documentation,BLS/ACLS Certified,Specialty Clinics,First Aid Camp,Kabaddi,Junior Community Health Worker,Certified Senior Certified Nurse
7519578899,TN-STU-2020-00023,Sathish Chidambaram,2005-04-02,Salem,Kanniyakumari,Government College of Fine Arts Kumbakonam,B.F.A.,Fine Arts,2026.0,9.3,"Ceramics, Portfolio Building, Photography, Art History, Graphic Design, Digital Illustration, Sculpture",Photography Basics,,Graphic Design Cert,Design Firms,Photography Club,Chess,Junior Art Educator,Certified Senior Animation Artist
6322520473,TN-STU-2023-00024,Damini Velayudham,1999-11-14,Namakkal,Poonamallee,TNAU Coimbatore,M.Sc.,Agriculture,2025.0,8.0,"Soil Science, Greenhouse Management, Remote Sensing, Organic Farming, Agribusiness, Irrigation Management, Crop Science",,AgriTech Tools,Organic Farming Cert,NGOs,Green Brigade,Cricket,Junior Agriculture Officer,Certified Senior Agri-Business Advisor
1267429212,TN-STU-2023-00025,Vijay Ethiraj,2003-05-15,Erode,Gummidipoondi,SRM University,B.Tech,Biomedical Engineering,2026.0,6.0,"Clinical Trials Support, Product Testing, MATLAB, Anatomy Knowledge, Signal Processing",Clinical Engineering,Healthcare IoT,Medical Coding,Research Labs,NCC,Badminton,Trainee Medical Device Tester,Certified Senior Biomedical Tech Associate
4110335359,TN-STU-2023-00026,Bhavani Sekar,2000-06-06,Erode,Avadi,Sastra University Law School,B.A.LL.B.,Law,2023.0,8.7,"Legal Writing, Litigation Support, Legal Research, Corporate Law",Human Rights Law,Corporate Drafting,Arbitration Certification,Human Rights NGOs,Legal Aid Club,Badminton,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer
8868054898,TN-STU-2022-00027,Ajith Thangam,2008-05-12,Coimbatore,Thiruvarur,Government College of Fine Arts Chennai,B.F.A.,Fine Arts,2025.0,7.4,"Painting, Portfolio Building, Graphic Design",Photography Basics,Graphic Design Tools,Adobe Creative Suite,,Cultural Fest,Chess,Junior Graphic Designer,Certified Creative Designer
6231117883,TN-STU-2022-00028,Prithiv Inbaraj,2007-08-08,Tiruchirappalli,Ambur,Patrician College,B.Com,Commerce,2024.0,7.9,"Accounting, Tally ERP, Auditing",,GST & Taxation,CPA Foundation,,Entrepreneurship Cell,Cricket,Junior Audit Assistant,Certified Certified Accountant
4459716271,TN-STU-2020-00029,Maya Anbazhagan,2002-11-23,Thoothukudi,Colachal,Thiagarajar CE,B.Tech,Mechanical Engineering,2023.0,9.2,"AutoCAD, Lean Manufacturing, Thermodynamics, Quality Control, MATLAB",Engineering Design,EV Technology,,Manufacturing Plants,Robotics,Athletics,Junior Design Engineer,Associate Manufacturing Associate
7371573279,TN-STU-2023-00030,Senthil Venkatesan,2008-04-05,Namakkal,Avadi,DG Vaishnav College,M.Com,Commerce,2024.0,6.5,"Cost Accounting, Taxation, GST Filing, Auditing, Financial Reporting",Advanced Accounting,FinTech,CPA Foundation,Share Broking Firm,Entrepreneurship Cell,Kabaddi,Trainee Financial Analyst,Certified Senior Banking Associate
6756711494,TN-STU-2022-00031,Preethi Udhayam,2005-03-26,Chennai,Mannargudi,Loyola College,BBA,Business Administration,2024.0,8.6,"Leadership, CRM, Business Analytics, Supply Chain, Strategic Planning, Marketing Research",Organizational Behavior,CRM Specialist,Digital Marketing Expert,Consumer Goods Companies,Entrepreneurship Cell,Badminton,Junior HR Executive,Certified Senior Business Development Associate
7575259637,TN-STU-2023-00032,Madhavan Jayaraman,2007-05-14,Thoothukudi,Ambur,Government College of Engineering Tirunelveli,M.E.,Civil Engineering,2026.0,7.7,"STAAD Pro, Site Supervision, AutoCAD, Quantity Estimation, Structural Analysis",Building Materials,,,,NSS,Volleyball,Junior Site Engineer,Junior BIM Associate
6128695961,TN-STU-2021-00033,Arasu Ponnusamy,2003-01-18,Madurai,Mannargudi,Loyola College,BBA,Business Administration,2025.0,6.2,"Strategic Planning, CRM, HR Management",,Retail Management,Six Sigma Green Belt,Tech Startups,,Badminton,Trainee Marketing Coordinator,Certified Senior Business Development Associate
2463320861,TN-STU-2020-00034,Ilango R.,2001-10-31,Tirunelveli,Jolarpet,Anna University,B.Sc.,Computer Science,2026.0,6.4,"Flutter, DSA, Python, SQL, Cybersecurity, Data Analysis, Cloud Computing",Data Structures,Full Stack Development,Oracle Java Certified,TCS,,Table Tennis,Trainee Systems Architect,Certified Senior Cloud Engineer
7539399243,TN-STU-2023-00035,Kamalesh Balan,2003-12-19,Thanjavur,Thiruthuraipoondi,Coimbatore Institute of Technology,M.E.,Mechanical Engineering,2023.0,9.9,"Thermodynamics, Quality Control, SolidWorks",Fluid Mechanics,,AutoCAD Certified,Ashok Leyland,Robotics,Football,Junior Design Engineer,Certified Senior CAD Design Specialist
5306459450,TN-STU-2023-00036,Narendra Udhayam,2006-09-24,Erode,Kancheepuram,SASTRA University,B.E.,Biomedical Engineering,2024.0,7.8,"AutoCAD, Medical Device Design, Anatomy Knowledge, Signal Processing, Biomechanics",,,,Siemens Healthineers,NCC,Badminton,Junior Clinical Engineer,Associate Health-Tech Developer
1610900200,TN-STU-2020-00037,Kumar Yogeswaran,2000-11-10,Thanjavur,Kancheepuram,SASTRA University,B.E.,Biomedical Engineering,2026.0,7.9,"Clinical Trials Support, AutoCAD, Product Testing, MATLAB, Anatomy Knowledge, Medical Device Design",,Medical Device Regulation,AutoCAD Certified,,Robotics,,Junior Clinical Engineer,Certified Clinical Systems Engineer
8822944679,TN-STU-2020-00038,Abirami A.,2007-07-23,Madurai,Ponneri,Ethiraj College,M.Sc.,Psychology,2025.0,7.1,"Group Therapy Facilitation, Psychometrics, Mental Health Assessment, Counseling, Report Writing, Child Psychology, Behavioral Analysis",Counseling Theories,Counselling Practices,,Hospitals,NSS,Chess,Junior Psychological Counselor,Associate Mental Wellness Coach
5452580287,TN-STU-2020-00039,Geetha J.,2002-07-12,Thanjavur,Uthiramerur,Government Law College Chennai,LL.B.,Law,2023.0,9.4,"Contract Negotiation, Legal Research, Litigation Support, IPC/CrPC Knowledge, Corporate Law, Legal Drafting",Human Rights Law,,Cyber Law Cert,High Court Chambers,Law Review,Badminton,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer
8293928340,TN-STU-2020-00040,Logeshwari Balaji,1999-04-29,Kallakurichi,Thiruvallur,Manipal Institute,M.E.,Biomedical Engineering,2024.0,7.9,"Medical Device Design, Clinical Trials Support, MATLAB, AutoCAD, Signal Processing, Product Testing, Anatomy Knowledge",Biomedical Signals,,LabVIEW Developer,Research Labs,Robotics,,Junior Clinical Engineer,Certified Senior Biomedical Tech Associate
8880079328,TN-STU-2023-00041,Pavithran Prabhu,2001-09-25,Tirunelveli,Tiruttani,PSG Tech,B.E.,Electronics & Communication,2024.0,6.4,"IoT, Embedded Systems, PCB Design, Communication Protocols, Circuit Design",Wireless Communications,,National Instruments LabVIEW,,,Cricket,Trainee Telecom Engineer,Certified IoT Specialist
7608153267,TN-STU-2022-00042,Vidhya Kandasamy,2002-09-23,Thoothukudi,Kanniyakumari,Agricultural College Madurai,M.Sc.,Agriculture,2024.0,7.5,"Remote Sensing, Soil Science, Agribusiness, Crop Science, Irrigation Management, Organic Farming, Greenhouse Management",,Post Harvest Management,Agri-Business Management,,Rural Development,Athletics,Junior Agriculture Officer,Certified AgriTech Analyst
8924383984,TN-STU-2020-00043,Oviyan Loganathan,2004-11-24,Tirunelveli,Avadi,Mother Teresa Womens University,B.A.,Tamil,2026.0,6.9,"Editing, Research Writing, Grammar",Epigraphy,,,,Literary Club,Badminton,Trainee Language Expert,Junior Digital Editor
9392965643,TN-STU-2023-00044,Akash Inbaraj,2008-10-13,Thoothukudi,Tiruttani,Agri College Killikulam,B.Sc.,Agriculture,2024.0,10.0,"Agribusiness, Organic Farming, Crop Science, Greenhouse Management, Remote Sensing",,,Organic Farming Cert,NGOs,Rural Development,Cricket,Junior Agri Extension Officer,Certified Senior Agri-Business Advisor
4419410162,TN-STU-2022-00045,Kabilan Velu,2003-01-08,Tiruchirappalli,Thiruverambur,Bharathidasan University,B.A.,Tamil,2026.0,9.6,"Grammar, Creative Writing, Tamil Literature, Translation",Classical Tamil,,Translator Certification,Content Studio,,Chess,Junior Content Developer,Certified Senior Digital Editor
6385791669,TN-STU-2022-00046,Uma Haran,2006-06-24,Chennai,Thiruvallur,VISTAS Chennai,BBA,Business Administration,2023.0,8.8,"Strategic Planning, CRM, Leadership, Operations Planning, Supply Chain",Marketing Research,Digital Marketing,PMP Foundation,Consumer Goods Companies,B-Plan Competitions,Football,Junior HR Executive,Certified Senior Business Development Associate
7763765757,TN-STU-2022-00047,Nisha Murugesan,1999-03-31,Kallakurichi,Avadi,Sastra University Law School,B.A.LL.B.,Law,2023.0,9.8,"IPC/CrPC Knowledge, Contract Negotiation, Litigation Support, Legal Writing, Corporate Law, Legal Research",,Legal Analytics,,Corporate Legal Cell,Law Review,Chess,Junior Corporate Legal Associate,Associate IP Specialist
8682023540,TN-STU-2020-00048,Kamal Sivakumar,2005-07-01,Tiruchirappalli,Kancheepuram,Anna University Regional Campus,B.Tech,Civil Engineering,2025.0,8.6,"Surveying, Site Supervision, STAAD Pro, Structural Analysis",,,Project Management Basics,Government PWD,Construction Challenge,Athletics,Junior Project Coordinator,Certified Senior BIM Associate
4454152476,TN-STU-2023-00049,Chaitra K.,1999-11-05,Madurai,Kanniyakumari,Government College of Fine Arts Kumbakonam,M.F.A.,Fine Arts,2023.0,8.5,"Art History, Graphic Design, Painting",Modern Art,Visual Communication,,,Photography Club,,Junior Art Educator,Junior Animation Artist
3898400928,TN-STU-2023-00050,Muthu Yuvraj,1999-04-13,Erode,Colachal,School of Excellence in Law,B.A.LL.B.,Law,2023.0,10.0,"IPC/CrPC Knowledge, Intellectual Property, Legal Drafting, Legal Research, Litigation Support, Legal Writing",Constitutional Law,Corporate Drafting,Cyber Law Cert,High Court Chambers,Moot Court,Cricket,Junior Corporate Legal Associate,Certified Senior Corporate Lawyer
7243352390,TN-STU-2023-00051,Arul Boopathi,2005-08-02,Namakkal,Thiruvallur,Manipal Institute,B.Tech,Biomedical Engineering,2023.0,9.1,"Product Testing, Biomechanics, Medical Device Design, AutoCAD, Signal Processing, MATLAB, Clinical Trials Support",Medical Imaging,Bioelectronics,CBET Preparation,,Robotics,,Junior Biomedical Engineer,Certified Clinical Systems Engineer
7004964045,TN-STU-2021-00052,Yuvaraj Yuvraj,2000-05-15,Tirunelveli,Thiruthuraipoondi,Kongu Engineering College,B.E.,Civil Engineering,2023.0,6.3,"Surveying, Site Supervision, STAAD Pro, Quantity Estimation, AutoCAD",,Building Information Modelling,,Government PWD,NSS,Kabaddi,Trainee Structural Engineer,Associate Construction Specialist
5307145891,TN-STU-2021-00053,Prithiv Thirunavukkarasu,2000-06-16,Thoothukudi,Thiruvarur,Government College of Fine Arts Chennai,B.F.A.,Fine Arts,2023.0,6.8,"Ceramics, Portfolio Building, Sculpture",,Visual Communication,Adobe Creative Suite,Ad Agencies,Photography Club,Yoga,Trainee Illustrator,Certified Senior Animation Artist
5567946981,TN-STU-2023-00054,Malarvizhi Udhayam,2007-09-22,Tiruchirappalli,Avadi,DG Vaishnav College,B.Com,Commerce,2023.0,9.3,"Cost Accounting, Financial Reporting, Accounting, Banking Operations, GST Filing",Banking & Insurance,GST & Taxation,,CA Firms,NSS,Kabaddi,Junior Accountant,Associate FinTech Analyst
3612617557,TN-STU-2020-00055,Nisha Subramanian,2000-05-31,Thanjavur,Nannilam,Alagappa University,M.A.,English,2026.0,9.2,"IELTS Coaching, Linguistics, Public Speaking, SEO Writing, Copywriting, Literature Analysis, Phonetics",Modern Linguistics,Business English,HubSpot Content Marketing,Schools,NCC,Football,Junior Communications Associate,Certified Senior Copywriter
7127904756,TN-STU-2022-00056,Swetha Velayudham,2003-03-14,Madurai,Vilavancode,CEG Anna University,B.E.,Electronics & Communication,2023.0,6.5,"VLSI, MATLAB, IoT, Embedded Systems, Communication Protocols, PCB Design",Digital Electronics,,,,Ham Radio,Chess,Trainee Telecom Engineer,Junior Embedded Developer
4096932037,TN-STU-2022-00057,Yogesh E.,2005-09-25,Thanjavur,Uthiramerur,Government Law College Chennai,B.A.LL.B.,Law,2024.0,9.0,"Litigation Support, Corporate Law, IPC/CrPC Knowledge, Contract Negotiation",Constitutional Law,Corporate Drafting,,Law Firms,Debate,,Junior Corporate Legal Associate,Associate IP Specialist
3391179068,TN-STU-2022-00058,Hasini B.,1999-04-29,Madurai,Kanniyakumari,Government College of Fine Arts Kumbakonam,M.F.A.,Fine Arts,2025.0,6.0,"Digital Illustration, Art History, Ceramics, Photography",Art Appreciation,Graphic Design Tools,,,Art Exhibition,Yoga,Trainee Illustrator,Junior Animation Artist
6910709963,TN-STU-2023-00059,Naveen Venkatesan,2002-10-28,Madurai,Tiruttani,PSG Tech,M.E.,Electronics & Communication,2025.0,9.6,"VLSI, Circuit Design, Communication Protocols, MATLAB, IoT, Embedded Systems, Signal Processing",Wireless Communications,PCB Design Fundamentals,,Telecom Companies,NCC,,Junior Electronics Engineer,Associate PCB Design Expert
3200510647,TN-STU-2022-00060,Lalitha Thirunavukkarasu,2003-10-27,Coimbatore,Colachal,NIT Trichy,MCA,Computer Science,2023.0,7.4,"DevOps, Python, Flutter, React, Cloud Computing, Java",Cloud Computing Foundation,Blockchain,Google Data Analytics,Local Tech Solutions,Hackathons,Cricket,Junior Software Engineer,Certified Senior Cloud Engineer
5849815676,TN-STU-2021-00061,Sneha G.,2004-08-11,Thoothukudi,Jolarpet,Anna University,B.Sc.,Computer Science,2023.0,8.7,"Node.js, Java, Machine Learning",,Data Analytics with Python,CISCO CCNA,Tech Startups,NSS,Chess,Junior Data Analyst,Certified Senior Cloud Engineer
9444763362,TN-STU-2021-00062,Meera Rajan,2007-12-27,Erode,Avadi,TA PAS College,M.A.,English,2023.0,8.7,"Literature Analysis, SEO Writing, Proofreading",British Literature,,TEFL,Schools,Debate,Tennis,Junior Communications Associate,Certified Senior Copywriter
9917981516,TN-STU-2020-00063,Jyothi Ramasamy,2004-12-13,Thoothukudi,Thiruvallur,VISTAS Chennai,MBA,Business Administration,2024.0,7.5,"Operations Planning, Business Analytics, HR Management",Strategic Management,,Digital Marketing Expert,,B-Plan Competitions,Football,Junior Management Trainee,Certified Digital Marketer
7977267911,TN-STU-2022-00064,Kavitha Dharmalingam,2000-09-10,Tirunelveli,Kanniyakumari,Government College of Fine Arts Kumbakonam,M.F.A.,Fine Arts,2025.0,7.7,"Painting, Digital Illustration, Art History, Graphic Design, Portfolio Building, Sculpture, Photography",Art Appreciation,Digital Art & Animation,Visual Art Diploma,Museums,Art Exhibition,Yoga,Junior Graphic Designer,Certified Senior Animation Artist
6946306973,TN-STU-2020-00065,Paval J.,2004-01-17,Erode,Thiruthuraipoondi,Coimbatore Institute of Technology,M.E.,Mechanical Engineering,2026.0,9.2,"AutoCAD, Thermodynamics, MATLAB, Manufacturing Processes",,Industry 4.0,,,Robotics,Cricket,Junior Design Engineer,Junior CAD Design Specialist
3619094295,TN-STU-2022-00066,Laksman Ganesan,2003-03-08,Thanjavur,Thiruvallur,VISTAS Chennai,MBA,Business Administration,2023.0,10.0,"HR Management, Operations Planning, Marketing Research, Strategic Planning, Leadership",Marketing Research,CRM Specialist,,,,Football,Junior HR Executive,Junior Business Development Associate
3850192297,TN-STU-2022-00067,Nayagi E.,2002-06-24,Kallakurichi,Killiyoor,Sri Ramachandra University,M.Sc.,Nursing,2024.0,9.8,"Medical Terminology, Vital Signs Monitoring, ICU Management",,Infection Control,BLS/ACLS Certified,,,Kabaddi,Junior Community Health Worker,Certified Clinical Nurse Specialist
2554039848,TN-STU-2022-00068,Deepika Yogeswaran,2002-06-19,Madurai,Ambur,Government College of Engineering Tirunelveli,B.Tech,Civil Engineering,2024.0,7.4,"Structural Analysis, AutoCAD, Soil Testing, Quantity Estimation",,,,,ASCE Chapter,Kabaddi,Junior Site Engineer,Junior BIM Associate
7860121241,TN-STU-2021-00069,Nallan Velu,2000-10-26,Madurai,Kanniyakumari,Government College of Fine Arts Kumbakonam,B.F.A.,Fine Arts,2026.0,8.3,"Graphic Design, Art History, Digital Illustration, Photography",Photography Basics,,Photography Certification,Museums,NSS,Chess,Junior Graphic Designer,Certified Senior Animation Artist
7560389844,TN-STU-2021-00070,Kirubakaran Natesan,2008-02-28,Salem,Palladam,KG College of Nursing,M.Sc.,Nursing,2023.0,9.0,"Emergency Response, Anatomy, Medical Terminology, Patient Care, Surgical Assistance",Basic Life Support,Healthcare Management,Intensive Care Cert,Nursing Homes,,Athletics,Junior Community Health Worker,Certified Senior Certified Nurse
5409514899,TN-STU-2020-00071,Guna M.,2003-06-12,Thoothukudi,Poonamallee,TNAU Coimbatore,M.Sc.,Agriculture,2023.0,8.3,"Crop Science, Irrigation Management, Greenhouse Management, Remote Sensing",Precision Agriculture,AgriTech Tools,Organic Farming Cert,Agri-Startups,Green Brigade,Kho-Kho,Junior Agriculture Officer,Certified Senior Agri-Business Advisor
3642900640,TN-STU-2020-00072,Roshini Subramanian,1999-03-19,Thanjavur,Thiruvarur,Government College of Fine Arts Chennai,M.F.A.,Fine Arts,2023.0,7.8,"Art History, Painting, Portfolio Building, Sculpture",Modern Art,,,Design Firms,Art Exhibition,Yoga,Junior Graphic Designer,Associate Digital Illustrator
3302333490,TN-STU-2021-00073,Vetri S.,2007-01-22,Madurai,Kanniyakumari,Agricultural College Madurai,B.Sc.,Agriculture,2025.0,7.5,"Remote Sensing, Soil Science, Organic Farming, Crop Science, Irrigation Management, Pest Management, Agribusiness",Plant Biotechnology,Post Harvest Management,Organic Farming Cert,,Green Brigade,Cricket,Junior Agriculture Officer,Certified AgriTech Analyst
4386667704,TN-STU-2022-00074,Yogesh Thangam,2001-09-14,Namakkal,Ponneri,Ethiraj College,B.Sc.,Psychology,2025.0,6.8,"Psychometrics, Social Work, Behavioral Analysis",,Emotional Intelligence,,HR Departments,YRC,Badminton,Trainee School Counselor,Associate Mental Wellness Coach
9347720574,TN-STU-2020-00075,Karuna Marimuthu,2002-04-16,Salem,Thiruvarur,Government College of Fine Arts Chennai,B.F.A.,Fine Arts,2025.0,7.9,"Portfolio Building, Graphic Design, Art History, Photography, Digital Illustration, Painting, Ceramics",Indian Art Traditions,Visual Communication,Adobe Creative Suite,,Photography Club,Badminton,Junior Graphic Designer,Certified Creative Designer
9115282784,TN-STU-2023-00076,Yavan Sundar,2003-05-03,Tiruchirappalli,Nannilam,Alagappa University,M.A.,English,2025.0,9.3,"Copywriting, Public Speaking, Literature Analysis, Linguistics, IELTS Coaching",,Soft Skills,,Corporate Training,Debate,Cricket,Junior Communications Associate,Associate IELTS Trainer
6611356986,TN-STU-2023-00077,Rahul Balaji,2000-11-13,Namakkal,Nannilam,Alagappa University,M.A.,English,2023.0,8.2,"IELTS Coaching, Phonetics, Public Speaking, Linguistics, Proofreading, SEO Writing, Copywriting",Spoken English,,,,Literary Society,Cricket,Junior Content Writer,Junior Copywriter
1149460439,TN-STU-2020-00078,Damu Venkatesan,2001-08-24,Kallakurichi,Avadi,DG Vaishnav College,M.Com,Commerce,2023.0,9.8,"Cost Accounting, Tally ERP, Banking Operations, GST Filing",Corporate Finance,,Tally Prime Certified,,Finance Club,Kabaddi,Junior Accountant,Certified Certified Accountant
5125402225,TN-STU-2020-00079,Advaita R.,2007-04-02,Madurai,Killiyoor,Sri Ramachandra University,M.Sc.,Nursing,2023.0,7.6,"Vital Signs Monitoring, Emergency Response, Medical Terminology, Surgical Assistance, ICU Management",Maternal Health,Medical Coding,BLS/ACLS Certified,General Hospitals,NCC,Athletics,Junior ICU Nurse,Certified Senior Certified Nurse
9532273208,TN-STU-2022-00080,Pranesh Linga,2006-12-16,Coimbatore,Tiruttani,PSG Tech,B.E.,Electronics & Communication,2024.0,8.3,"Signal Processing, Circuit Design, VLSI, MATLAB, PCB Design, Communication Protocols, IoT",Wireless Communications,,,Electronics SMEs,NCC,,Junior Embedded Systems Engineer,Associate PCB Design Expert
5577353273,TN-STU-2023-00081,Kavitha Anbazhagan,2007-01-15,Namakkal,Ambur,Patrician College,M.Com,Commerce,2026.0,9.6,"Tally ERP, Cost Accounting, Financial Reporting",Corporate Finance,GST & Taxation,CPA Foundation,,,Chess,Junior Accountant,Certified Certified Accountant
